ID|RawShares|RawUsage|NormShares|NormUsage
1||60276234588663|0.000000|
39124|1|56200084|0.000000|0.000001
39125|1|11196825|0.000000|0.000000
42170|192000|0|0.001730|0.000000
69539|1344000|24550|0.012112|0.000000
121668|576000|0|0.005191|0.000000
156768|200000|392129|0.001802|0.000000
16|1024000|0|0.009228|0.000000
17|1024000|3546120|0.009228|0.000000
52644|192000|400038808|0.001730|0.000007
132734|960000|0|0.008651|0.000000
127539|192000|95837854|0.001730|0.000002
121669|576000|15003906|0.005191|0.000000
121670|4000|198910036|0.000036|0.000003
121762|1|2|0.000000|0.000000
121763|1|223|0.000000|0.000000
63|1|0|0.000000|0.000000
4328|1|0|0.000000|0.000000
48576|1|0|0.000000|0.000000
48578|1|0|0.000000|0.000000
139724|0|0|0.000000|0.000000
191420|1|0|0.000000|0.000000
191421|1|0|0.000000|0.000000
81317|0|0|0.000000|0.000000
81316|0|0|0.000000|0.000000
64|0|0|0.000000|0.000000
4329|0|0|0.000000|0.000000
158738|1|0|0.000000|0.000000
158739|1|0|0.000000|0.000000
112116|0|0|0.000000|0.000000
112117|0|0|0.000000|0.000000
67|0|0|0.000000|0.000000
4332|0|0|0.000000|0.000000
116660|1|0|0.000000|0.000000
116661|1|0|0.000000|0.000000
72471|1|0|0.000000|0.000000
72472|1|0|0.000000|0.000000
175918|1|0|0.000000|0.000000
175919|1|0|0.000000|0.000000
64886|1|261654|0.000000|0.000000
64889|1|33118160|0.000000|0.000001
44374|1|0|0.000000|0.000000
44378|1|0|0.000000|0.000000
66166|1|0|0.000000|0.000000
66171|1|0|0.000000|0.000000
151554|1|0|0.000000|0.000000
151555|1|504258|0.000000|0.000000
74|1|0|0.000000|0.000000
4339|1|0|0.000000|0.000000
76|1|12204|0.000000|0.000000
4341|1|75118755|0.000000|0.000001
154779|0|0|0.000000|0.000000
154780|0|0|0.000000|0.000000
123828|0|0|0.000000|0.000000
123829|0|0|0.000000|0.000000
100854|1|0|0.000000|0.000000
100855|1|0|0.000000|0.000000
142044|1|0|0.000000|0.000000
142045|1|0|0.000000|0.000000
143315|1|0|0.000000|0.000000
143316|1|0|0.000000|0.000000
115944|0|0|0.000000|0.000000
115945|0|0|0.000000|0.000000
77|1|43|0.000000|0.000000
4342|11617|18996998791|0.000105|0.000315
78|1|0|0.000000|0.000000
4343|1|91|0.000000|0.000000
57922|182881|96616615876|0.001648|0.001603
57924|1|0|0.000000|0.000000
141926|1|0|0.000000|0.000000
141927|1|0|0.000000|0.000000
141985|1|0|0.000000|0.000000
141986|1|0|0.000000|0.000000
132462|0|0|0.000000|0.000000
132463|0|0|0.000000|0.000000
80|1|0|0.000000|0.000000
4345|1|0|0.000000|0.000000
81|0|0|0.000000|0.000000
4346|0|0|0.000000|0.000000
164974|1|0|0.000000|0.000000
164975|1|0|0.000000|0.000000
63876|1|0|0.000000|0.000000
63879|1|0|0.000000|0.000000
83|1|0|0.000000|0.000000
4348|1|0|0.000000|0.000000
157018|0|0|0.000000|0.000000
157019|0|0|0.000000|0.000000
172382|1|15582372|0.000000|0.000000
172383|1|0|0.000000|0.000000
173387|1|355|0.000000|0.000000
173388|1|315|0.000000|0.000000
48353|0|0|0.000000|0.000000
48357|0|0|0.000000|0.000000
159652|1|42481|0.000000|0.000000
159653|1|0|0.000000|0.000000
155245|0|0|0.000000|0.000000
155246|0|0|0.000000|0.000000
53796|1|0|0.000000|0.000000
53798|1|0|0.000000|0.000000
146231|0|0|0.000000|0.000000
146232|0|0|0.000000|0.000000
137996|1|0|0.000000|0.000000
137997|1|0|0.000000|0.000000
177686|1|0|0.000000|0.000000
177687|1|0|0.000000|0.000000
67368|0|0|0.000000|0.000000
67369|0|0|0.000000|0.000000
57502|1|0|0.000000|0.000000
57503|1|0|0.000000|0.000000
85|1|331067439|0.000000|0.000005
4350|1|0|0.000000|0.000000
86|1|767411563|0.000000|0.000013
4351|1|0|0.000000|0.000000
66051|1|14556915|0.000000|0.000000
66052|1|0|0.000000|0.000000
75708|1|2862804|0.000000|0.000000
75709|11617|5959720837|0.000105|0.000099
54767|1|21682229152|0.000000|0.000360
54768|1|0|0.000000|0.000000
102415|1|0|0.000000|0.000000
102416|1|0|0.000000|0.000000
154839|0|0|0.000000|0.000000
154840|0|0|0.000000|0.000000
135934|1|0|0.000000|0.000000
135935|1|0|0.000000|0.000000
87|1|0|0.000000|0.000000
4352|1|0|0.000000|0.000000
187720|1|0|0.000000|0.000000
187721|1|0|0.000000|0.000000
183843|1|0|0.000000|0.000000
183844|1|0|0.000000|0.000000
89|1|0|0.000000|0.000000
4354|1|0|0.000000|0.000000
129933|0|0|0.000000|0.000000
129934|0|0|0.000000|0.000000
168403|1|0|0.000000|0.000000
168404|1|0|0.000000|0.000000
153762|1|0|0.000000|0.000000
153763|1|0|0.000000|0.000000
90|1|0|0.000000|0.000000
4355|1|0|0.000000|0.000000
166420|1|0|0.000000|0.000000
166421|1|0|0.000000|0.000000
69861|1|0|0.000000|0.000000
69862|1|0|0.000000|0.000000
91|1|137|0.000000|0.000000
4356|1|0|0.000000|0.000000
153284|1|0|0.000000|0.000000
153285|1|0|0.000000|0.000000
92|1|0|0.000000|0.000000
4357|1|0|0.000000|0.000000
93|1|128841|0.000000|0.000000
4358|1|0|0.000000|0.000000
94|1|0|0.000000|0.000000
4359|1|0|0.000000|0.000000
95|1|0|0.000000|0.000000
4360|1|0|0.000000|0.000000
179508|1|0|0.000000|0.000000
179509|1|0|0.000000|0.000000
113745|0|0|0.000000|0.000000
113746|0|0|0.000000|0.000000
152461|0|0|0.000000|0.000000
152462|0|0|0.000000|0.000000
96|1|0|0.000000|0.000000
4361|1|0|0.000000|0.000000
62324|182881|70580105351|0.001648|0.001171
62325|1|0|0.000000|0.000000
97|1|359920812|0.000000|0.000006
4362|1|0|0.000000|0.000000
149895|1|0|0.000000|0.000000
149896|1|0|0.000000|0.000000
76729|1|4067116204|0.000000|0.000067
76730|1|0|0.000000|0.000000
98|1|0|0.000000|0.000000
4363|1|0|0.000000|0.000000
188181|1|0|0.000000|0.000000
188182|1|0|0.000000|0.000000
99|1|0|0.000000|0.000000
4364|1|0|0.000000|0.000000
100|0|0|0.000000|0.000000
4365|0|0|0.000000|0.000000
120424|0|0|0.000000|0.000000
120425|0|0|0.000000|0.000000
82515|0|0|0.000000|0.000000
82516|0|0|0.000000|0.000000
185099|1|0|0.000000|0.000000
185100|1|0|0.000000|0.000000
101|1|0|0.000000|0.000000
4366|1|0|0.000000|0.000000
53210|1|2345216|0.000000|0.000000
53212|1|15503674|0.000000|0.000000
121485|0|0|0.000000|0.000000
121486|0|0|0.000000|0.000000
95426|0|0|0.000000|0.000000
95427|0|0|0.000000|0.000000
170496|1|0|0.000000|0.000000
170497|1|0|0.000000|0.000000
138011|0|0|0.000000|0.000000
138012|0|0|0.000000|0.000000
170709|1|0|0.000000|0.000000
170710|1|0|0.000000|0.000000
50778|0|0|0.000000|0.000000
46403|1|0|0.000000|0.000000
46407|1|0|0.000000|0.000000
102|1|5095|0.000000|0.000000
4367|1|109|0.000000|0.000000
162138|1|0|0.000000|0.000000
162139|1|0|0.000000|0.000000
173391|1|0|0.000000|0.000000
173392|1|0|0.000000|0.000000
82566|0|0|0.000000|0.000000
82567|0|0|0.000000|0.000000
180934|1|0|0.000000|0.000000
180935|1|0|0.000000|0.000000
133096|0|0|0.000000|0.000000
133097|0|0|0.000000|0.000000
147084|1|0|0.000000|0.000000
147085|1|0|0.000000|0.000000
139026|1|0|0.000000|0.000000
139027|1|0|0.000000|0.000000
41897|1|0|0.000000|0.000000
41900|1|0|0.000000|0.000000
103|1|0|0.000000|0.000000
4368|1|0|0.000000|0.000000
115717|0|0|0.000000|0.000000
115718|0|0|0.000000|0.000000
77806|1|0|0.000000|0.000000
77807|1|0|0.000000|0.000000
104|1|0|0.000000|0.000000
4369|1|0|0.000000|0.000000
53603|1|14|0.000000|0.000000
53604|1|6658|0.000000|0.000000
153639|1|0|0.000000|0.000000
153640|1|0|0.000000|0.000000
121323|0|0|0.000000|0.000000
121324|0|0|0.000000|0.000000
152499|0|0|0.000000|0.000000
152500|0|0|0.000000|0.000000
88406|0|0|0.000000|0.000000
88407|0|0|0.000000|0.000000
108342|182881|38887694626|0.001648|0.000645
108343|1|1523484|0.000000|0.000000
162292|1|0|0.000000|0.000000
162293|1|0|0.000000|0.000000
167227|1|0|0.000000|0.000000
167228|1|0|0.000000|0.000000
139138|1|0|0.000000|0.000000
139139|1|0|0.000000|0.000000
146715|1|0|0.000000|0.000000
146716|1|0|0.000000|0.000000
112950|0|0|0.000000|0.000000
112951|0|0|0.000000|0.000000
131861|0|0|0.000000|0.000000
131862|0|0|0.000000|0.000000
106|1|2165511152|0.000000|0.000036
4371|1|1077141833|0.000000|0.000018
77493|1|0|0.000000|0.000000
77495|1|336585|0.000000|0.000000
124563|0|0|0.000000|0.000000
124564|0|0|0.000000|0.000000
164282|1|0|0.000000|0.000000
164283|1|0|0.000000|0.000000
188965|1|0|0.000000|0.000000
188966|1|0|0.000000|0.000000
115743|1|244494347|0.000000|0.000004
115744|11617|1265914959|0.000105|0.000021
155493|1|0|0.000000|0.000000
155494|1|12|0.000000|0.000000
163540|0|0|0.000000|0.000000
163541|0|0|0.000000|0.000000
107|1|0|0.000000|0.000000
